SEGID,SURVEY,QNAME,FIPS
T140G13121008202,ACS2010_5yr,"Census Tract 82.02, Fulton County, Georgia","13121008202"
T140G13089021101,ACS2010_5yr,"Census Tract 211.01, DeKalb County, Georgia","13089021101"
T140G13089021102,ACS2010_5yr,"Census Tract 211.02, DeKalb County, Georgia","13089021102"
T140G13089021405,ACS2010_5yr,"Census Tract 214.05, DeKalb County, Georgia","13089021405"
T140G13089021411,ACS2010_5yr,"Census Tract 214.11, DeKalb County, Georgia","13089021411"
T140G13121010002,ACS2010_5yr,"Census Tract 100.02, Fulton County, Georgia","13121010002"
T140G13089021416,ACS2010_5yr,"Census Tract 214.16, DeKalb County, Georgia","13089021416"
T140G13089021415,ACS2010_5yr,"Census Tract 214.15, DeKalb County, Georgia","13089021415"
T140G13089021417,ACS2010_5yr,"Census Tract 214.17, DeKalb County, Georgia","13089021417"
T140G13121009602,ACS2010_5yr,"Census Tract 96.02, Fulton County, Georgia","13121009602"
T140G13121009404,ACS2010_5yr,"Census Tract 94.04, Fulton County, Georgia","13121009404"
T140G13089021502,ACS2010_5yr,"Census Tract 215.02, DeKalb County, Georgia","13089021502"
T140G13121009403,ACS2010_5yr,"Census Tract 94.03, Fulton County, Georgia","13121009403"
T140G13121009402,ACS2010_5yr,"Census Tract 94.02, Fulton County, Georgia","13121009402"
T140G13089020100,ACS2010_5yr,"Census Tract 201, DeKalb County, Georgia","13089020100"
T140G13089022401,ACS2010_5yr,"Census Tract 224.01, DeKalb County, Georgia","13089022401"
T140G13121000100,ACS2010_5yr,"Census Tract 1, Fulton County, Georgia","13121000100"
T140G13121010114,ACS2010_5yr,"Census Tract 101.14, Fulton County, Georgia","13121010114"
T140G13121010001,ACS2010_5yr,"Census Tract 100.01, Fulton County, Georgia","13121010001"
T140G13089020200,ACS2010_5yr,"Census Tract 202, DeKalb County, Georgia","13089020200"
T140G13089020300,ACS2010_5yr,"Census Tract 203, DeKalb County, Georgia","13089020300"
T140G13089020400,ACS2010_5yr,"Census Tract 204, DeKalb County, Georgia","13089020400"
T140G13121001500,ACS2010_5yr,"Census Tract 15, Fulton County, Georgia","13121001500"
T140G13121001400,ACS2010_5yr,"Census Tract 14, Fulton County, Georgia","13121001400"
T140G13121001600,ACS2010_5yr,"Census Tract 16, Fulton County, Georgia","13121001600"
T140G13089020500,ACS2010_5yr,"Census Tract 205, DeKalb County, Georgia","13089020500"
T140G13089020600,ACS2010_5yr,"Census Tract 206, DeKalb County, Georgia","13089020600"
T140G13121003100,ACS2010_5yr,"Census Tract 31, Fulton County, Georgia","13121003100"
T140G13121003000,ACS2010_5yr,"Census Tract 30, Fulton County, Georgia","13121003000"
T140G13089020900,ACS2010_5yr,"Census Tract 209, DeKalb County, Georgia","13089020900"
T140G13121005200,ACS2010_5yr,"Census Tract 52, Fulton County, Georgia","13121005200"
T140G13121007703,ACS2010_5yr,"Census Tract 77.03, Fulton County, Georgia","13121007703"
T140G13121007300,ACS2010_5yr,"Census Tract 73, Fulton County, Georgia","13121007300"
T140G13121007400,ACS2010_5yr,"Census Tract 74, Fulton County, Georgia","13121007400"
T140G13121010800,ACS2010_5yr,"Census Tract 108, Fulton County, Georgia","13121010800"
T140G13121011000,ACS2010_5yr,"Census Tract 110, Fulton County, Georgia","13121011000"
T140G13121011100,ACS2010_5yr,"Census Tract 111, Fulton County, Georgia","13121011100"
T140G13121011202,ACS2010_5yr,"Census Tract 112.02, Fulton County, Georgia","13121011202"
T140G13121012300,ACS2010_5yr,"Census Tract 123, Fulton County, Georgia","13121012300"
T140G13121010601,ACS2010_5yr,"Census Tract 106.01, Fulton County, Georgia","13121010601"
T140G13121011303,ACS2010_5yr,"Census Tract 113.03, Fulton County, Georgia","13121011303"
T140G13121007705,ACS2010_5yr,"Census Tract 77.05, Fulton County, Georgia","13121007705"
T140G13089023801,ACS2010_5yr,"Census Tract 238.01, DeKalb County, Georgia","13089023801"
T140G13121006900,ACS2010_5yr,"Census Tract 69, Fulton County, Georgia","13121006900"
T140G13089023802,ACS2010_5yr,"Census Tract 238.02, DeKalb County, Georgia","13089023802"
T140G13121006802,ACS2010_5yr,"Census Tract 68.02, Fulton County, Georgia","13121006802"
T140G13121007100,ACS2010_5yr,"Census Tract 71, Fulton County, Georgia","13121007100"
T140G13121010212,ACS2010_5yr,"Census Tract 102.12, Fulton County, Georgia","13121010212"
T140G13067031113,ACS2010_5yr,"Census Tract 311.13, Cobb County, Georgia","13067031113"
